sensor,corr_all,corr_low,corr_high
C17,-0.7970760306946556,-0.19135831182069377,0.09955874161814096
C12,0.33833494541105597,-0.021104826496106104,-0.09792179417007736
C9,-0.2667781993052289,-0.034065367381224974,-0.0369056359788538
C61,0.1849153763603123,0.0016805421441830608,0.04743124877077192
C63,-0.10620152161248324,-0.0496209384594439,0.025334976163174292
C11,0.10273874414227167,-0.0024490057466804017,-0.0075064767480157125
C42,-0.09926694778318781,-0.05626078098693768,0.04019362785595301
C25,-0.09364080395848708,-0.19100869986196098,0.45890748686295
C48,0.07223179678248061,0.07814291260193632,-0.005830976591479524
C16,0.07222002164335291,0.07814070813704602,-0.005843935713070108
C15,0.05389551813225406,0.06020863467261322,-0.0005071468181950504
C60,-0.0424030923801062,0.000355812700340987,-0.011147179179021598
C56,-0.03886576392571312,-0.07914857550580694,-0.022351026819242517
C52,-0.03248423484685267,0.00734224693745086,0.005699677683704901
C50,0.029847303797503718,0.0014816283420746104,-0.017904507690393392
C4,0.027136427537646203,0.014665569037456689,-0.06074477984969504
C54,0.026495160602546444,-0.0009550673196878374,0.006055249889041721
C62,0.02456352981702091,-0.0069765503169547495,-0.04425150759845357
C58,0.022763800288323713,-0.009582163943584661,0.0014643245726706853
C5,0.01578964345590267,0.008110191872919888,0.015901111750152012
C34,0.013435494254500092,0.052600076815776796,0.01121539798112354
C35,0.013435494254500092,0.052600076815776796,0.01121539798112354
C33,-0.012986330305266502,-0.48026572871491774,-0.7792291336806431
C27,0.011665282055448794,0.13805828847744994,0.050551075700874186
C46,0.010956852081285235,0.02822647477035259,-0.04972871275582304
C57,0.005320169835386087,-0.04986894736481085,0.006438316937988763
C1,0.00435566922533228,-0.010828814637974372,-0.02151403281471672
C18,-0.0043340183432734125,0.006013035953347452,0.0033755460961851164
C31,0.004085913353556947,-0.04019281378925182,0.02821693115221485
C32,0.003012082794772938,-0.025764991617027184,0.0028422032482712974
C59,0.0029342699585170615,-0.035637061066787636,-0.015043155844853169
C49,0.0003346029495316234,0.03644141517205428,0.015311714800805086
