,LGBM|F-C10,XGBoost|F-C10,CatBoost|F-C10,HistGB|F-C10,ExtraTrees|F-C10,Ridge+spline|F-C10,SegLGBM|F-C10,ExtraTrees|F-T15,ExtraTrees|F-P3,LGBM|F-T15,LGBM|F-P3,SegLGBM|F-T15,SegLGBM|F-P3
LGBM|F-C10,1.0,0.9349234647881303,0.9257112081927896,0.811660940325323,0.7932208018594172,0.6264747389396392,0.9504504069482651,0.7931209097995003,0.8090855045321074,0.8492589817189413,0.9633115698927355,0.8247582960405926,0.9343986862533074
XGBoost|F-C10,0.9349234647881303,1.0,0.9499992538997725,0.8241815617480561,0.7781779985902993,0.6426539391125325,0.9250178170029638,0.7784080123782843,0.7914475165143819,0.8265062987297759,0.9250642837664461,0.8110094895566281,0.9130074633359241
CatBoost|F-C10,0.9257112081927896,0.9499992538997725,1.0,0.8513617792967194,0.7631196793489731,0.6762521427990954,0.9101964572992852,0.7781269855797522,0.7849746659289459,0.8393188889451796,0.9222283587273055,0.821781631964059,0.9060032844041385
HistGB|F-C10,0.811660940325323,0.8241815617480561,0.8513617792967194,1.0,0.6062456492585945,0.8686609362140029,0.7873545850717092,0.7377722637473583,0.6603684120029193,0.8374126549396135,0.8384488906182462,0.8102703942995527,0.8104055970518219
ExtraTrees|F-C10,0.7932208018594172,0.7781779985902993,0.7631196793489731,0.6062456492585945,1.0,0.45772859417647116,0.7923317175361931,0.7617512579092784,0.9167009605913066,0.6994005608924329,0.7721157126597943,0.6939514368249822,0.7684006392469319
Ridge+spline|F-C10,0.6264747389396392,0.6426539391125325,0.6762521427990954,0.8686609362140029,0.45772859417647116,1.0,0.6120484853739324,0.5996072483127952,0.5076873097378303,0.6976948173028615,0.6586810967875515,0.6757964854390063,0.6395483512049057
SegLGBM|F-C10,0.9504504069482651,0.9250178170029638,0.9101964572992852,0.7873545850717092,0.7923317175361931,0.6120484853739324,1.0,0.7713616953210722,0.7986652109375763,0.8141751862008868,0.9338439904973608,0.8185821155099808,0.9610140944745444
ExtraTrees|F-T15,0.7931209097995003,0.7784080123782843,0.7781269855797522,0.7377722637473583,0.7617512579092784,0.5996072483127952,0.7713616953210722,1.0,0.8524210114252547,0.8773936228243732,0.8253116634210723,0.8724037749524609,0.8072280930950589
ExtraTrees|F-P3,0.8090855045321074,0.7914475165143819,0.7849746659289459,0.6603684120029193,0.9167009605913066,0.5076873097378303,0.7986652109375763,0.8524210114252547,1.0,0.7625250026248219,0.8281310888195513,0.755728287598082,0.8229889926794592
LGBM|F-T15,0.8492589817189413,0.8265062987297759,0.8393188889451796,0.8374126549396135,0.6994005608924329,0.6976948173028615,0.8141751862008868,0.8773936228243732,0.7625250026248219,1.0,0.8800429281347991,0.9624869938655115,0.8447337433314559
LGBM|F-P3,0.9633115698927355,0.9250642837664461,0.9222283587273055,0.8384488906182462,0.7721157126597943,0.6586810967875515,0.9338439904973608,0.8253116634210723,0.8281310888195513,0.8800429281347991,1.0,0.8551461989084336,0.9585296106838749
SegLGBM|F-T15,0.8247582960405926,0.8110094895566281,0.821781631964059,0.8102703942995527,0.6939514368249822,0.6757964854390063,0.8185821155099808,0.8724037749524609,0.755728287598082,0.9624869938655115,0.8551461989084336,1.0,0.849810842887439
SegLGBM|F-P3,0.9343986862533074,0.9130074633359241,0.9060032844041385,0.8104055970518219,0.7684006392469319,0.6395483512049057,0.9610140944745444,0.8072280930950589,0.8229889926794592,0.8447337433314559,0.9585296106838749,0.849810842887439,1.0
